"nTrees","mNodes","mTry","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","rF_mod.SE","nDesirability"
25,29,4,0.8533,0.7074,0.8531,0.8576,0.85,0.8669,0.8721,0.4138,0.793,0.0184,0.909195138729649
25,30,6,0.8442,0.6875,0.8342,0.8197,0.8667,0.8583,0.8419,0.396,0.7772,0.0216,0.891080027516625
25,39,6,0.8453,0.6905,0.8352,0.8061,0.8833,0.8829,0.8331,0.3884,0.779,0.0209,0.893143774363678
25,40,6,0.854,0.7058,0.8387,0.803,0.9,0.89,0.8389,0.3877,0.7868,0.0199,0.902086677367576
25,44,2,0.8616,0.7218,0.8478,0.803,0.9167,0.9081,0.8371,0.3877,0.7961,0.0104,0.912749369410686
25,52,6,0.8707,0.7417,0.8666,0.8591,0.8833,0.8885,0.8732,0.4141,0.8111,0.0202,0.929947259802798
25,61,9,0.8446,0.688,0.8303,0.7864,0.9,0.8944,0.8226,0.3793,0.7765,0.0238,0.890277459298326
25,66,3,0.871,0.7413,0.8612,0.8409,0.9,0.89,0.8642,0.4054,0.8087,0.0173,0.92719559734006
25,80,9,0.8797,0.7577,0.8651,0.8576,0.9,0.8907,0.8888,0.4138,0.8185,0.0249,0.938431552396239
25,85,2,0.8529,0.7044,0.8409,0.8182,0.8833,0.8849,0.8513,0.3957,0.7877,0.0233,0.903118550791103
50,18,4,0.8453,0.6893,0.8323,0.8045,0.8833,0.8677,0.8333,0.388,0.777,0.0197,0.890850722311397
50,26,7,0.854,0.7058,0.8349,0.7682,0.9333,0.9236,0.8137,0.3707,0.7853,0.0195,0.900366888328365
50,36,5,0.854,0.7089,0.8577,0.8939,0.8167,0.8362,0.8984,0.4312,0.7956,0.0142,0.912176106397615
50,45,6,0.8446,0.6893,0.8387,0.8227,0.8667,0.8701,0.8425,0.3967,0.7798,0.0199,0.894060995184591
50,46,9,0.8453,0.6899,0.8349,0.8227,0.8667,0.8671,0.8553,0.3967,0.7799,0.0174,0.894175647787205
50,61,2,0.8449,0.6914,0.8506,0.9121,0.7833,0.7995,0.9067,0.4399,0.7859,0.0192,0.90105480394405
50,62,3,0.863,0.7252,0.854,0.8409,0.8833,0.8872,0.8646,0.4054,0.8006,0.0231,0.917908736528319
50,63,3,0.8449,0.6892,0.8339,0.8045,0.8833,0.8825,0.8354,0.388,0.7784,0.013,0.892455858747994
50,65,4,0.862,0.7239,0.8548,0.8409,0.8833,0.8881,0.8684,0.4054,0.8006,0.0154,0.917908736528319
50,69,6,0.8438,0.6861,0.8282,0.8015,0.8833,0.8714,0.834,0.3873,0.7751,0.0309,0.888672322861729
50,73,8,0.8449,0.6882,0.8283,0.7848,0.9,0.9051,0.8239,0.379,0.7769,0.0233,0.890736069708782
50,75,3,0.8717,0.7419,0.8591,0.8227,0.9167,0.9083,0.8527,0.3967,0.8083,0.0248,0.926736986929603
50,75,4,0.8536,0.707,0.8478,0.8576,0.85,0.8538,0.8757,0.4138,0.7912,0.0203,0.907131391882596
50,82,9,0.8449,0.6888,0.831,0.7864,0.9,0.8979,0.8244,0.3793,0.7773,0.0171,0.891194680119239
75,21,2,0.8457,0.6912,0.8418,0.8409,0.85,0.8496,0.8518,0.4054,0.781,0.0261,0.89543682641596
75,25,2,0.8453,0.6897,0.8384,0.8394,0.85,0.8445,0.8567,0.4051,0.7797,0.0123,0.893946342581977
75,26,7,0.846,0.6901,0.8207,0.7712,0.9167,0.904,0.8243,0.3714,0.7756,0.0263,0.889245585874799
75,28,2,0.8449,0.6891,0.8345,0.8227,0.8667,0.8503,0.8441,0.3967,0.7776,0.0226,0.891538637927081
75,31,3,0.8616,0.7226,0.8538,0.8379,0.8833,0.8817,0.86,0.4047,0.7987,0.024,0.915730337078652
75,31,5,0.8536,0.7069,0.8409,0.8061,0.9,0.9071,0.8451,0.3884,0.7894,0.014,0.905067645035542
75,35,6,0.8616,0.7234,0.858,0.8576,0.8667,0.8677,0.8699,0.4138,0.8003,0.0235,0.917564778720477
75,38,3,0.8536,0.7058,0.8377,0.8227,0.8833,0.8659,0.8569,0.3967,0.7869,0.0262,0.90220132997019
75,46,8,0.8533,0.7054,0.8399,0.803,0.9,0.9025,0.8388,0.3877,0.7877,0.0175,0.903118550791103
75,48,6,0.8449,0.6888,0.8331,0.8394,0.85,0.8491,0.8688,0.4051,0.7795,0.0216,0.893717037376748
75,49,6,0.8536,0.7075,0.8458,0.8242,0.8833,0.8851,0.8457,0.3971,0.7897,0.0197,0.905411602843385
75,51,4,0.8359,0.6733,0.8372,0.8591,0.8167,0.8395,0.8728,0.4141,0.7744,0.0154,0.88786975464343
75,52,2,0.8529,0.7052,0.8451,0.8379,0.8667,0.8635,0.8564,0.4047,0.7885,0.0228,0.904035771612016
75,52,3,0.8446,0.6884,0.8359,0.8561,0.8333,0.8326,0.8816,0.4134,0.7803,0.0254,0.894634258197661
75,60,2,0.863,0.7268,0.8544,0.8621,0.8667,0.8727,0.8923,0.4149,0.8029,0.02,0.920545746388443
75,73,3,0.854,0.7082,0.8536,0.8758,0.8333,0.845,0.8872,0.4225,0.7937,0.0165,0.909997706947948
75,74,4,0.8449,0.6883,0.829,0.8212,0.8667,0.8681,0.8642,0.3964,0.7788,0.022,0.89291446915845
75,74,6,0.854,0.7074,0.8364,0.7894,0.9167,0.9205,0.8344,0.3801,0.7882,0.0138,0.903691813804173
75,77,4,0.8623,0.7232,0.8499,0.8212,0.9,0.8883,0.849,0.3964,0.7972,0.0166,0.914010548039441
75,82,3,0.8453,0.6889,0.8312,0.8212,0.8667,0.8642,0.8559,0.3964,0.7786,0.0212,0.892685163953222
75,84,3,0.8366,0.6739,0.8342,0.8409,0.8333,0.8532,0.8631,0.4054,0.7736,0.015,0.886952533822518
100,19,6,0.8449,0.6887,0.8293,0.8045,0.8833,0.8761,0.8404,0.388,0.7772,0.0236,0.891080027516625
100,22,4,0.8453,0.6905,0.8391,0.8227,0.8667,0.8701,0.8429,0.3967,0.7803,0.0178,0.894634258197661
100,23,5,0.8362,0.6719,0.8289,0.8561,0.8167,0.8291,0.8821,0.4134,0.772,0.0216,0.885118092180693
100,24,10,0.854,0.7078,0.8476,0.8409,0.8667,0.8699,0.8658,0.4054,0.7912,0.0149,0.907131391882596
100,26,9,0.8446,0.6883,0.8342,0.803,0.8833,0.8799,0.8297,0.3877,0.7775,0.0166,0.891423985324467
100,29,2,0.8449,0.6906,0.8483,0.8924,0.8,0.8159,0.8964,0.4308,0.7848,0.0198,0.899793625315295
100,29,3,0.8449,0.6893,0.8347,0.8227,0.8667,0.8561,0.8464,0.3967,0.7782,0.0203,0.892226553542765
100,30,3,0.8449,0.6872,0.8177,0.8212,0.8667,0.8567,0.8735,0.3964,0.776,0.0348,0.889704196285256
100,33,4,0.8453,0.6898,0.8364,0.8576,0.8333,0.8412,0.8858,0.4138,0.7819,0.024,0.896468699839486
100,37,7,0.8449,0.6876,0.8227,0.803,0.8833,0.8872,0.8464,0.3877,0.7767,0.0227,0.890506764503554
100,40,2,0.8362,0.6729,0.8355,0.8576,0.8167,0.8223,0.8651,0.4138,0.7721,0.0209,0.885232744783307
100,40,4,0.8536,0.7059,0.8421,0.8212,0.8833,0.872,0.8464,0.3964,0.7874,0.017,0.902774592983261
100,41,5,0.8616,0.7214,0.8465,0.8364,0.8833,0.8767,0.8713,0.4043,0.7972,0.0228,0.914010548039441
100,47,2,0.8529,0.706,0.8501,0.8561,0.85,0.858,0.8681,0.4134,0.7909,0.0168,0.906787434074754
100,50,3,0.862,0.7225,0.85,0.8379,0.8833,0.8821,0.8677,0.4047,0.7985,0.0116,0.915501031873424
100,52,3,0.8446,0.6879,0.8292,0.803,0.8833,0.8883,0.8395,0.3877,0.7776,0.0199,0.891538637927081
100,52,4,0.8533,0.7055,0.8413,0.803,0.9,0.9021,0.834,0.3877,0.7876,0.0185,0.903003898188489
100,56,4,0.854,0.7077,0.8466,0.8591,0.85,0.8496,0.8805,0.4141,0.7913,0.0229,0.90724604448521
100,58,3,0.8453,0.6893,0.8361,0.8212,0.8667,0.8572,0.8428,0.3964,0.7783,0.0209,0.89234120614538
100,60,2,0.854,0.7076,0.8466,0.8409,0.8667,0.8622,0.8623,0.4054,0.7901,0.0165,0.905870213253841
100,64,6,0.8457,0.6899,0.8316,0.8227,0.8667,0.8738,0.8576,0.3967,0.7799,0.0222,0.894175647787205
100,67,2,0.8449,0.6898,0.8374,0.8409,0.85,0.8476,0.8624,0.4054,0.7802,0.0231,0.894519605595047
100,71,4,0.8623,0.7228,0.8462,0.8212,0.9,0.8866,0.8539,0.3964,0.7966,0.0221,0.913322632423756
100,71,6,0.8533,0.7054,0.8405,0.8379,0.8667,0.8813,0.8722,0.4047,0.79,0.019,0.905755560651227
100,77,5,0.8446,0.6891,0.8384,0.8394,0.85,0.8535,0.8583,0.4051,0.7802,0.019,0.894519605595047
100,82,4,0.8362,0.6733,0.8371,0.8576,0.8167,0.8302,0.864,0.4138,0.773,0.0178,0.886264618206833
125,16,2,0.8366,0.6734,0.836,0.8576,0.8167,0.8203,0.8619,0.4138,0.772,0.0173,0.885118092180693
125,20,3,0.8362,0.6735,0.8403,0.8924,0.7833,0.8063,0.8983,0.4308,0.7758,0.0127,0.889474891080028
125,21,6,0.8536,0.706,0.8401,0.8212,0.8833,0.8913,0.8536,0.3964,0.7889,0.0211,0.904494382022472
125,27,4,0.8453,0.6901,0.8354,0.8227,0.8667,0.8739,0.8551,0.3967,0.7805,0.0175,0.894863563402889
125,31,3,0.8449,0.6903,0.8438,0.8576,0.8333,0.8411,0.8662,0.4138,0.7821,0.0165,0.896698005044715
125,32,2,0.8449,0.6899,0.8404,0.8576,0.8333,0.8422,0.8779,0.4138,0.7822,0.0178,0.896812657647329
125,35,4,0.8453,0.6911,0.841,0.8591,0.8333,0.857,0.8885,0.4141,0.7846,0.0181,0.899564320110066
125,43,2,0.8453,0.6903,0.8405,0.8576,0.8333,0.849,0.8788,0.4138,0.7829,0.0138,0.897615225865627
125,45,2,0.8457,0.6894,0.8284,0.8045,0.8833,0.8859,0.8444,0.388,0.7783,0.0206,0.89234120614538
125,53,2,0.8442,0.6881,0.8388,0.8545,0.8333,0.8459,0.8808,0.413,0.7815,0.0145,0.89601008942903
125,67,4,0.8449,0.6896,0.8381,0.8394,0.85,0.8672,0.8681,0.4051,0.782,0.0124,0.8965833524421
125,70,7,0.8536,0.7077,0.8527,0.8758,0.8333,0.84,0.8869,0.4225,0.7929,0.0169,0.909080486127035
125,74,3,0.862,0.7234,0.8536,0.8394,0.8833,0.8815,0.8616,0.4051,0.7991,0.02,0.916188947489108
125,78,2,0.8362,0.6725,0.8343,0.8742,0.8,0.8145,0.89,0.4221,0.7736,0.0139,0.886952533822518
125,81,3,0.8453,0.6894,0.8282,0.7879,0.9,0.8884,0.8281,0.3797,0.7766,0.017,0.89039211190094
125,83,6,0.8457,0.6908,0.8389,0.8045,0.8833,0.8885,0.826,0.388,0.7797,0.0238,0.893946342581977
125,85,6,0.8623,0.7249,0.858,0.8409,0.8833,0.8851,0.855,0.4054,0.8004,0.0203,0.917679431323091
150,18,2,0.8362,0.6735,0.8377,0.8758,0.8,0.8158,0.8849,0.4225,0.7744,0.0128,0.88786975464343
150,20,3,0.8453,0.6895,0.837,0.8394,0.85,0.844,0.8573,0.4051,0.7794,0.0149,0.893602384774134
150,20,5,0.837,0.6742,0.8357,0.8409,0.8333,0.8369,0.8466,0.4054,0.7717,0.021,0.88477413437285
150,21,4,0.8449,0.6886,0.8351,0.8197,0.8667,0.8746,0.8481,0.396,0.7793,0.0116,0.89348773217152
150,27,4,0.8536,0.7067,0.8436,0.8576,0.85,0.8705,0.8925,0.4138,0.7926,0.0193,0.908736528319193
150,33,2,0.854,0.7076,0.8503,0.8576,0.85,0.8491,0.8674,0.4138,0.791,0.014,0.906902086677368
150,36,3,0.8536,0.7064,0.843,0.8576,0.85,0.854,0.8888,0.4138,0.791,0.0231,0.906902086677368
150,41,3,0.871,0.7415,0.8644,0.8758,0.8667,0.8627,0.8941,0.4225,0.8109,0.0235,0.929717954597569
150,43,4,0.8453,0.6883,0.8225,0.8045,0.8833,0.8693,0.8512,0.388,0.776,0.0282,0.889704196285256
150,52,2,0.8449,0.6888,0.8357,0.8561,0.8333,0.8396,0.8821,0.4134,0.7809,0.0217,0.895322173813346
150,54,5,0.8449,0.6902,0.8402,0.8227,0.8667,0.8729,0.8414,0.3967,0.7804,0.0164,0.894748910800275
150,55,3,0.8623,0.7237,0.851,0.8576,0.8667,0.8681,0.8888,0.4138,0.8004,0.0251,0.917679431323091
150,58,5,0.8453,0.688,0.8195,0.7864,0.9,0.9008,0.8386,0.3793,0.776,0.0248,0.889704196285256
150,70,4,0.8449,0.689,0.8323,0.8045,0.8833,0.8768,0.8352,0.388,0.7776,0.0227,0.891538637927081
150,71,4,0.8453,0.6901,0.8371,0.8227,0.8667,0.8619,0.8442,0.3967,0.7793,0.0123,0.89348773217152
150,73,6,0.8623,0.7242,0.8554,0.8576,0.8667,0.8777,0.8813,0.4138,0.8016,0.0156,0.91905526255446
150,76,3,0.8446,0.6891,0.8405,0.8561,0.8333,0.8409,0.8709,0.4134,0.7812,0.0191,0.895666131621188
150,83,2,0.8362,0.6732,0.8326,0.8591,0.8167,0.8289,0.8846,0.4141,0.7735,0.021,0.886837881219904
175,13,4,0.8457,0.6914,0.8429,0.8591,0.8333,0.8428,0.8733,0.4141,0.783,0.0161,0.897729878468241
175,17,2,0.8453,0.6909,0.845,0.8758,0.8167,0.8268,0.8859,0.4225,0.7836,0.0126,0.898417794083926
175,26,3,0.8449,0.6903,0.8438,0.8576,0.8333,0.8411,0.8662,0.4138,0.7821,0.0165,0.896698005044715
175,26,4,0.8362,0.6727,0.8315,0.8394,0.8333,0.8562,0.8659,0.4051,0.7729,0.0141,0.886149965604219
175,30,3,0.8536,0.7079,0.8541,0.8758,0.8333,0.8467,0.8851,0.4225,0.7936,0.0127,0.909883054345334
175,30,4,0.8446,0.6895,0.8399,0.8394,0.85,0.8675,0.8594,0.4051,0.7817,0.0191,0.896239394634258
175,32,7,0.8453,0.6885,0.8291,0.803,0.8833,0.8738,0.8377,0.3877,0.7767,0.0207,0.890506764503554
175,36,4,0.8536,0.707,0.8477,0.8576,0.85,0.855,0.8798,0.4138,0.7915,0.0177,0.907475349690438
175,38,2,0.8355,0.6719,0.8368,0.8742,0.8,0.8103,0.8805,0.4221,0.7728,0.0197,0.886035313001605
175,39,3,0.8529,0.7045,0.8386,0.8197,0.8833,0.8898,0.8536,0.396,0.7879,0.0214,0.903347855996331
175,39,6,0.8446,0.6879,0.8313,0.8197,0.8667,0.8757,0.8521,0.396,0.7787,0.0201,0.892799816555836
175,43,4,0.8453,0.6895,0.8314,0.8227,0.8667,0.8635,0.8593,0.3967,0.7791,0.0238,0.893258426966292
175,45,3,0.8536,0.7067,0.8436,0.8576,0.85,0.8705,0.8925,0.4138,0.7926,0.0193,0.908736528319193
175,46,7,0.8457,0.6914,0.8383,0.8242,0.8667,0.8695,0.8471,0.3971,0.7808,0.0207,0.895207521210732
175,47,2,0.8714,0.7417,0.8633,0.8576,0.8833,0.8897,0.8801,0.4138,0.811,0.0176,0.929832607200184
175,48,2,0.8366,0.6732,0.8304,0.8409,0.8333,0.8386,0.8629,0.4054,0.7716,0.0201,0.884659481770236
175,48,4,0.8446,0.6881,0.8316,0.8212,0.8667,0.8628,0.8509,0.3964,0.7779,0.0226,0.891882595734923
175,55,5,0.8449,0.6895,0.8384,0.8394,0.85,0.8512,0.8575,0.4051,0.7801,0.0187,0.894404952992433
175,55,7,0.8446,0.6886,0.8357,0.8212,0.8667,0.8619,0.8423,0.3964,0.7782,0.0215,0.892226553542765
175,58,2,0.837,0.675,0.8389,0.8773,0.8,0.8211,0.8918,0.4228,0.7761,0.0195,0.88981884888787
175,65,2,0.8536,0.7057,0.836,0.8227,0.8833,0.8691,0.8598,0.3967,0.787,0.0201,0.902315982572804
175,69,2,0.8449,0.6904,0.8437,0.8576,0.8333,0.8492,0.8709,0.4138,0.783,0.0166,0.897729878468241
175,71,3,0.8529,0.7051,0.8404,0.8394,0.8667,0.8752,0.8804,0.4051,0.7901,0.0211,0.905870213253841
175,72,2,0.8457,0.6905,0.8335,0.8061,0.8833,0.8681,0.8331,0.3884,0.7777,0.019,0.891653290529695
175,73,3,0.8362,0.6719,0.829,0.8561,0.8167,0.8286,0.8799,0.4134,0.7719,0.0227,0.885003439578078
200,23,5,0.8536,0.7062,0.8415,0.8394,0.8667,0.8666,0.8721,0.4051,0.7896,0.0228,0.90529695024077
200,26,5,0.8453,0.691,0.8379,0.8242,0.8667,0.8745,0.8491,0.3971,0.781,0.0184,0.89543682641596
200,27,2,0.837,0.6742,0.835,0.8591,0.8167,0.8229,0.8723,0.4141,0.7731,0.0158,0.886379270809447
200,30,3,0.8536,0.7069,0.8436,0.8409,0.8667,0.8709,0.8752,0.4054,0.7908,0.0166,0.906672781472139
200,35,8,0.8453,0.6892,0.8249,0.7879,0.9,0.904,0.837,0.3797,0.7776,0.0225,0.891538637927081
200,40,3,0.8533,0.7064,0.8466,0.8394,0.8667,0.8785,0.8616,0.4051,0.7907,0.0175,0.906558128869525
200,41,2,0.837,0.6738,0.8325,0.8409,0.8333,0.841,0.8592,0.4054,0.7721,0.014,0.885232744783307
200,42,3,0.8449,0.6908,0.8476,0.8758,0.8167,0.8262,0.8745,0.4225,0.7833,0.0177,0.898073836276084
200,46,4,0.8366,0.6725,0.8277,0.8394,0.8333,0.8538,0.8672,0.4051,0.7721,0.0211,0.885232744783307
200,50,2,0.854,0.709,0.8585,0.9121,0.8,0.8195,0.9162,0.4399,0.7966,0.0122,0.913322632423756
200,55,2,0.8366,0.6734,0.8344,0.8758,0.8,0.8145,0.8936,0.4225,0.7742,0.0156,0.887640449438202
200,61,2,0.8457,0.6914,0.8426,0.8591,0.8333,0.8437,0.8786,0.4141,0.7834,0.0181,0.898188488878698
200,64,2,0.8366,0.6732,0.8337,0.8576,0.8167,0.8294,0.8749,0.4138,0.7731,0.0187,0.886379270809447
200,72,4,0.8536,0.707,0.8478,0.8576,0.85,0.8538,0.8757,0.4138,0.7912,0.0203,0.907131391882596
200,76,3,0.8449,0.6903,0.8464,0.8742,0.8167,0.8316,0.8795,0.4221,0.7835,0.0166,0.898303141481312
200,77,3,0.8457,0.6917,0.8452,0.8591,0.8333,0.8377,0.8638,0.4141,0.7826,0.0238,0.897271268057785
200,83,3,0.8366,0.6735,0.8329,0.8591,0.8167,0.8195,0.8769,0.4141,0.7725,0.0263,0.885691355193763
225,18,8,0.837,0.674,0.8285,0.8424,0.8333,0.8388,0.8741,0.4058,0.7724,0.0218,0.885576702591149
225,21,2,0.8457,0.6898,0.8308,0.8227,0.8667,0.8708,0.8578,0.3967,0.7795,0.0208,0.893717037376748
225,21,3,0.8362,0.673,0.8343,0.8758,0.8,0.8168,0.8967,0.4225,0.7745,0.0143,0.887984407246044
225,26,4,0.8446,0.6877,0.8305,0.8197,0.8667,0.8769,0.8544,0.396,0.7787,0.0156,0.892799816555836
225,34,2,0.8446,0.6891,0.8412,0.8561,0.8333,0.8391,0.8736,0.4134,0.7814,0.0204,0.895895436826416
225,36,2,0.8366,0.6736,0.8376,0.8758,0.8,0.8067,0.8771,0.4225,0.7732,0.0189,0.886493923412061
225,40,4,0.854,0.707,0.8367,0.8242,0.8833,0.8792,0.8688,0.3971,0.789,0.0264,0.904609034625086
225,41,5,0.8449,0.6892,0.8366,0.8212,0.8667,0.8718,0.8431,0.3964,0.7794,0.02,0.893602384774134
225,42,3,0.837,0.6737,0.831,0.8409,0.8333,0.8383,0.8631,0.4054,0.7719,0.0211,0.885003439578078
225,42,5,0.8453,0.6882,0.8215,0.8045,0.8833,0.8708,0.8547,0.388,0.7762,0.0284,0.889933501490484
225,44,5,0.8453,0.6891,0.8322,0.8212,0.8667,0.8744,0.8512,0.3964,0.7793,0.0195,0.89348773217152
225,49,7,0.8536,0.7058,0.8383,0.803,0.9,0.9095,0.8417,0.3877,0.7882,0.021,0.903691813804173
225,51,4,0.8446,0.6888,0.8382,0.8379,0.85,0.8659,0.861,0.4047,0.781,0.0142,0.89543682641596
225,53,3,0.8366,0.6732,0.8337,0.8576,0.8167,0.8294,0.8749,0.4138,0.7731,0.0187,0.886379270809447
225,54,4,0.8449,0.688,0.8258,0.8212,0.8667,0.8618,0.864,0.3964,0.7776,0.0276,0.891538637927081
225,58,4,0.837,0.6745,0.8318,0.8424,0.8333,0.8383,0.8646,0.4058,0.7724,0.0195,0.885576702591149
225,70,5,0.8449,0.688,0.8258,0.8212,0.8667,0.8618,0.864,0.3964,0.7776,0.0276,0.891538637927081
225,72,3,0.8359,0.6722,0.8352,0.8561,0.8167,0.8321,0.8704,0.4134,0.7728,0.0169,0.886035313001605
225,73,2,0.8707,0.7427,0.8764,0.9288,0.8167,0.8426,0.9357,0.4482,0.8172,0.0139,0.936941068562256
225,81,4,0.854,0.7075,0.8446,0.8409,0.8667,0.8795,0.8753,0.4054,0.7919,0.0162,0.907933960100894
225,83,3,0.837,0.6745,0.8318,0.8424,0.8333,0.8383,0.8646,0.4058,0.7724,0.0195,0.885576702591149
225,85,4,0.8453,0.6879,0.8188,0.7864,0.9,0.8995,0.8404,0.3793,0.7758,0.0225,0.889474891080028
250,17,2,0.837,0.6739,0.8332,0.8409,0.8333,0.8421,0.857,0.4054,0.7722,0.0174,0.885347397385921
250,21,3,0.8453,0.6899,0.8392,0.8576,0.8333,0.8337,0.8736,0.4138,0.7811,0.017,0.895551479018574
250,33,2,0.8449,0.6894,0.8374,0.8394,0.85,0.8562,0.86,0.4051,0.7804,0.0188,0.894748910800275
250,34,2,0.8449,0.6885,0.832,0.8394,0.85,0.8344,0.8652,0.4051,0.7779,0.0238,0.891882595734923
250,36,2,0.837,0.6745,0.8365,0.8591,0.8167,0.8278,0.8695,0.4141,0.7736,0.0204,0.886952533822518
250,40,2,0.8536,0.7064,0.8422,0.8576,0.85,0.8644,0.8912,0.4138,0.7917,0.0176,0.907704654895666
250,42,2,0.8453,0.691,0.8427,0.8591,0.8333,0.8357,0.8701,0.4141,0.7821,0.0143,0.896698005044715
250,47,3,0.8449,0.6892,0.8368,0.8561,0.8333,0.8577,0.8858,0.4134,0.7828,0.0191,0.897500573263013
250,58,4,0.8449,0.689,0.8336,0.8394,0.85,0.8514,0.8706,0.4051,0.7799,0.0217,0.894175647787205
250,62,2,0.8623,0.7249,0.863,0.8924,0.8333,0.847,0.8995,0.4308,0.8038,0.0179,0.92157761981197
250,72,3,0.8442,0.688,0.8357,0.8212,0.8667,0.8651,0.8453,0.3964,0.7785,0.0206,0.892570511350608
250,74,3,0.8362,0.6724,0.8289,0.8576,0.8167,0.8314,0.8888,0.4138,0.7729,0.0219,0.886149965604219
250,76,2,0.8362,0.6725,0.8319,0.8576,0.8167,0.8235,0.8744,0.4138,0.772,0.0155,0.885118092180693
250,84,3,0.8449,0.6891,0.83,0.8227,0.8667,0.8838,0.8697,0.3967,0.7808,0.0164,0.895207521210732
250,84,5,0.8366,0.6734,0.8356,0.8394,0.8333,0.8462,0.8483,0.4051,0.7721,0.0204,0.885232744783307
275,14,3,0.8449,0.6892,0.8368,0.8394,0.85,0.8479,0.8603,0.4051,0.7797,0.0188,0.893946342581977
275,29,3,0.854,0.7064,0.8376,0.8227,0.8833,0.871,0.8578,0.3967,0.7875,0.0236,0.902889245585875
275,34,2,0.854,0.7062,0.8393,0.8394,0.8667,0.8723,0.874,0.4051,0.7897,0.0185,0.905411602843385
275,35,4,0.8366,0.6731,0.8291,0.8409,0.8333,0.8424,0.8719,0.4054,0.7722,0.0161,0.885347397385921
275,40,2,0.8366,0.6735,0.835,0.8576,0.8167,0.8314,0.8699,0.4138,0.7732,0.0235,0.886493923412061
275,42,5,0.8362,0.6732,0.8329,0.8409,0.8333,0.8473,0.8635,0.4054,0.7727,0.0134,0.885920660398991
275,44,2,0.8536,0.7073,0.8523,0.8924,0.8167,0.8286,0.9075,0.4308,0.794,0.022,0.91034166475579
275,47,6,0.8457,0.6894,0.8186,0.7712,0.9167,0.9079,0.83,0.3714,0.7756,0.0237,0.889245585874799
275,49,5,0.8533,0.7055,0.8395,0.8212,0.8833,0.8913,0.8546,0.3964,0.7887,0.02,0.904265076817244
275,55,2,0.8453,0.6903,0.841,0.8576,0.8333,0.8422,0.8767,0.4138,0.7824,0.0189,0.897041962852557
275,55,3,0.8449,0.6891,0.8331,0.8394,0.85,0.8705,0.8793,0.4051,0.7818,0.0163,0.896354047236872
275,59,3,0.8453,0.6903,0.8375,0.8409,0.85,0.852,0.8669,0.4054,0.781,0.019,0.89543682641596
275,64,5,0.8449,0.6903,0.8438,0.8576,0.8333,0.8411,0.8662,0.4138,0.7821,0.0165,0.896698005044715
275,69,6,0.8449,0.689,0.8306,0.8227,0.8667,0.8648,0.8611,0.3967,0.779,0.0218,0.893143774363678
275,75,2,0.8536,0.7064,0.8456,0.8742,0.8333,0.8445,0.9021,0.4221,0.7924,0.0231,0.908507223113965
275,78,3,0.8453,0.6893,0.8296,0.8045,0.8833,0.8817,0.8474,0.388,0.7784,0.0238,0.892455858747994
275,79,4,0.8536,0.7074,0.8511,0.8576,0.85,0.854,0.868,0.4138,0.7914,0.0164,0.907360697087824
275,79,5,0.8623,0.7242,0.8556,0.8576,0.8667,0.8702,0.8813,0.4138,0.8011,0.0188,0.91848199954139
275,80,5,0.8453,0.6896,0.8313,0.8227,0.8667,0.877,0.8615,0.3967,0.7802,0.0201,0.894519605595047
275,81,2,0.8366,0.6738,0.8377,0.8758,0.8,0.814,0.8841,0.4225,0.7743,0.0123,0.887755102040816
275,84,3,0.8623,0.7238,0.8533,0.8394,0.8833,0.8872,0.8631,0.4051,0.7997,0.0151,0.916876863104792
275,84,5,0.8453,0.6897,0.8342,0.8227,0.8667,0.8579,0.8488,0.3967,0.7786,0.0214,0.892685163953222
275,85,3,0.8366,0.6732,0.8338,0.8576,0.8167,0.8288,0.8727,0.4138,0.7729,0.02,0.886149965604219
300,27,5,0.8533,0.7068,0.852,0.8742,0.8333,0.847,0.8882,0.4221,0.7929,0.0136,0.909080486127035
300,28,2,0.8533,0.7066,0.8497,0.8742,0.8333,0.8447,0.8931,0.4221,0.7926,0.018,0.908736528319193
300,30,2,0.8362,0.6727,0.8336,0.8576,0.8167,0.82,0.8716,0.4138,0.7719,0.0105,0.885003439578078
300,31,2,0.8449,0.6902,0.8455,0.8742,0.8167,0.8316,0.8854,0.4221,0.7837,0.017,0.89853244668654
300,32,2,0.8446,0.6886,0.8357,0.8212,0.8667,0.8619,0.8423,0.3964,0.7782,0.0215,0.892226553542765
300,34,2,0.8446,0.6906,0.8496,0.8924,0.8,0.827,0.8986,0.4308,0.7859,0.0199,0.90105480394405
300,34,3,0.8446,0.6885,0.8357,0.8561,0.8333,0.8412,0.8839,0.4134,0.781,0.0219,0.89543682641596
300,41,2,0.8453,0.6893,0.8303,0.8227,0.8667,0.8581,0.856,0.3967,0.7782,0.0237,0.892226553542765
300,42,3,0.8453,0.6907,0.8409,0.8409,0.85,0.8509,0.8552,0.4054,0.7809,0.0178,0.895322173813346
300,42,4,0.8536,0.7054,0.8334,0.8212,0.8833,0.8929,0.8624,0.3964,0.7881,0.0273,0.903577161201559
300,50,3,0.854,0.7074,0.8444,0.8227,0.8833,0.8883,0.8496,0.3967,0.7899,0.0198,0.905640908048613
300,51,4,0.8533,0.7066,0.8477,0.8576,0.85,0.8573,0.8805,0.4138,0.7915,0.018,0.907475349690438
300,57,5,0.8449,0.6899,0.8404,0.8576,0.8333,0.8422,0.8779,0.4138,0.7822,0.0178,0.896812657647329
