"nTrees","mNodes","mTry","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Detection.Rate","Desirability","rF_mod.SE","nDesirability"
275,11,2,0.871,0.7409,0.8575,0.8227,0.9167,0.9121,0.8599,0.3967,0.8083,0.0182,0.926736986929603
275,11,3,0.8536,0.7063,0.8402,0.8045,0.9,0.9017,0.8467,0.388,0.7887,0.0161,0.904265076817244
275,11,4,0.8967,0.7928,0.8888,0.8576,0.9333,0.939,0.8853,0.4138,0.8403,0.0111,0.963425819766109
275,11,5,0.888,0.7749,0.8759,0.8394,0.9333,0.939,0.8753,0.4051,0.8292,0.0142,0.950699380875946
275,11,9,0.8453,0.6879,0.8156,0.7515,0.9333,0.9349,0.8225,0.3623,0.7751,0.0203,0.888672322861729
275,11,10,0.8453,0.6882,0.818,0.7515,0.9333,0.9349,0.8193,0.3623,0.7754,0.0168,0.889016280669571
275,12,2,0.8453,0.689,0.8252,0.7697,0.9167,0.9127,0.8238,0.371,0.7766,0.0113,0.89039211190094
275,12,3,0.8623,0.7229,0.8436,0.7864,0.9333,0.9371,0.8386,0.3793,0.7972,0.0115,0.914010548039441
275,12,4,0.871,0.7405,0.8541,0.8045,0.9333,0.9371,0.8518,0.388,0.808,0.015,0.926393029121761
275,12,5,0.8714,0.7419,0.8568,0.8061,0.9333,0.9349,0.8495,0.3884,0.8087,0.0139,0.92719559734006
275,12,6,0.8627,0.7243,0.8462,0.8061,0.9167,0.9099,0.8494,0.3884,0.7979,0.0202,0.914813116257739
275,12,7,0.8801,0.7599,0.8702,0.8424,0.9167,0.9167,0.8729,0.4058,0.8204,0.0145,0.940609951845907
275,12,9,0.854,0.706,0.8341,0.7864,0.9167,0.9208,0.8385,0.3793,0.7874,0.0179,0.902774592983261
275,12,10,0.8453,0.6879,0.8156,0.7515,0.9333,0.9349,0.8225,0.3623,0.7751,0.0203,0.888672322861729
275,13,2,0.8536,0.705,0.8307,0.7682,0.9333,0.9371,0.8286,0.3707,0.7861,0.0126,0.901284109149278
275,13,3,0.8543,0.7072,0.8359,0.7879,0.9167,0.9171,0.8375,0.3797,0.7879,0.0201,0.903347855996331
275,13,4,0.9058,0.8116,0.9006,0.8773,0.9333,0.9371,0.8978,0.4228,0.8516,0.0142,0.9763815638615
275,13,5,0.8793,0.7572,0.8644,0.8212,0.9333,0.939,0.8638,0.3964,0.8183,0.0141,0.938202247191011
275,13,6,0.8797,0.7584,0.867,0.8227,0.9333,0.9371,0.8618,0.3967,0.8191,0.0131,0.939119468011924
275,13,7,0.8536,0.705,0.8307,0.7682,0.9333,0.9371,0.8286,0.3707,0.7861,0.0126,0.901284109149278
275,13,8,0.8623,0.7234,0.8481,0.8045,0.9167,0.9149,0.8457,0.388,0.798,0.0108,0.914927768860353
275,13,9,0.8707,0.7397,0.855,0.803,0.9333,0.9357,0.8438,0.3877,0.8071,0.0147,0.925361155698234
275,13,10,0.8453,0.6879,0.8156,0.7515,0.9333,0.9349,0.8225,0.3623,0.7751,0.0203,0.888672322861729
275,14,2,0.8707,0.7401,0.8583,0.8212,0.9167,0.9167,0.8578,0.3964,0.8083,0.01,0.926736986929603
275,14,3,0.8964,0.7921,0.8898,0.8742,0.9167,0.9183,0.8965,0.4221,0.8402,0.0136,0.963311167163495
275,14,4,0.871,0.7402,0.8513,0.8045,0.9333,0.9371,0.8544,0.388,0.8075,0.0193,0.925819766108691
275,14,5,0.8627,0.7236,0.84,0.7879,0.9333,0.9349,0.8439,0.3797,0.797,0.0211,0.913781242834212
275,14,6,0.8623,0.7229,0.8436,0.7864,0.9333,0.9371,0.8386,0.3793,0.7972,0.0115,0.914010548039441
275,14,7,0.854,0.706,0.8341,0.7864,0.9167,0.9208,0.8385,0.3793,0.7874,0.0179,0.902774592983261
275,14,8,0.8623,0.7229,0.8436,0.7864,0.9333,0.9371,0.8386,0.3793,0.7972,0.0115,0.914010548039441
275,14,9,0.871,0.7406,0.8552,0.8045,0.9333,0.9371,0.85,0.388,0.8081,0.0127,0.926507681724375
275,14,10,0.8623,0.7226,0.8412,0.7864,0.9333,0.9371,0.8418,0.3793,0.7969,0.0163,0.913666590231598
275,15,2,0.871,0.7414,0.8602,0.8227,0.9167,0.9267,0.8618,0.3967,0.8102,0.0145,0.928915386379271
275,15,3,0.871,0.7406,0.8552,0.8045,0.9333,0.9371,0.85,0.388,0.8081,0.0127,0.926507681724375
275,15,4,0.8453,0.6882,0.818,0.7515,0.9333,0.9349,0.8193,0.3623,0.7754,0.0168,0.889016280669571
275,15,5,0.854,0.7062,0.8365,0.7864,0.9167,0.9208,0.8353,0.3793,0.7878,0.0137,0.903233203393717
275,15,6,0.8627,0.7241,0.8452,0.7879,0.9333,0.9349,0.8381,0.3797,0.7979,0.0129,0.914813116257739
275,15,7,0.8707,0.7393,0.8515,0.803,0.9333,0.939,0.8538,0.3877,0.8072,0.0159,0.925475808300849
275,15,10,0.854,0.7062,0.8324,0.7697,0.9333,0.9349,0.8281,0.371,0.7868,0.0139,0.902086677367576
275,16,2,0.854,0.7065,0.8388,0.8045,0.9,0.8958,0.8451,0.388,0.7879,0.019,0.903347855996331
275,16,3,0.8793,0.7573,0.8655,0.8212,0.9333,0.939,0.8621,0.3964,0.8185,0.0116,0.938431552396239
275,16,4,0.8714,0.7416,0.8586,0.8227,0.9167,0.9208,0.8599,0.3967,0.8094,0.0178,0.927998165558358
275,16,5,0.8623,0.7226,0.8412,0.7864,0.9333,0.9371,0.8418,0.3793,0.7969,0.0163,0.913666590231598
275,16,6,0.8449,0.687,0.8164,0.75,0.9333,0.9371,0.8197,0.362,0.7748,0.0157,0.888328365053887
275,16,7,0.8877,0.7738,0.8738,0.8379,0.9333,0.9405,0.8779,0.4047,0.8286,0.0149,0.950011465260261
275,16,8,0.8707,0.7396,0.8539,0.803,0.9333,0.939,0.8507,0.3877,0.8076,0.0109,0.925934418711305
275,16,9,0.888,0.7752,0.8783,0.8394,0.9333,0.939,0.8721,0.4051,0.8295,0.0083,0.951043338683788
275,16,10,0.8533,0.7036,0.8266,0.7667,0.9333,0.939,0.8318,0.3703,0.7851,0.0161,0.900137583123137
275,17,2,0.8457,0.69,0.8288,0.7879,0.9,0.8921,0.8324,0.3797,0.7775,0.02,0.891423985324467
275,17,3,0.879,0.7562,0.8633,0.8197,0.9333,0.9405,0.8648,0.396,0.8178,0.0123,0.937628984177941
275,17,4,0.8797,0.7585,0.8681,0.8227,0.9333,0.9371,0.86,0.3967,0.8192,0.0103,0.939234120614538
275,17,5,0.8453,0.6889,0.8283,0.7864,0.9,0.8958,0.8319,0.3793,0.7772,0.0157,0.891080027516625
275,17,6,0.8884,0.7762,0.8785,0.8409,0.9333,0.9371,0.8732,0.4054,0.83,0.0132,0.951616601696858
275,17,8,0.8453,0.6879,0.8156,0.7515,0.9333,0.9349,0.8225,0.3623,0.7751,0.0203,0.888672322861729
275,17,9,0.8533,0.7039,0.8294,0.7667,0.9333,0.939,0.8292,0.3703,0.7856,0.0108,0.900710846136207
275,17,10,0.8449,0.687,0.8164,0.75,0.9333,0.9371,0.8197,0.362,0.7748,0.0157,0.888328365053887
275,18,2,0.8793,0.758,0.8692,0.8394,0.9167,0.9285,0.8753,0.4051,0.8203,0.0159,0.940495299243293
275,18,3,0.8793,0.7569,0.8616,0.8212,0.9333,0.939,0.8665,0.3964,0.8178,0.0186,0.937628984177941
275,18,4,0.8884,0.7762,0.8785,0.8409,0.9333,0.9371,0.8732,0.4054,0.83,0.0132,0.951616601696858
275,18,5,0.8707,0.7393,0.8515,0.803,0.9333,0.939,0.8538,0.3877,0.8072,0.0159,0.925475808300849
275,18,6,0.8533,0.7043,0.8325,0.7848,0.9167,0.919,0.8385,0.379,0.7863,0.0107,0.901513414354506
275,18,7,0.8714,0.7416,0.8544,0.8061,0.9333,0.9349,0.8527,0.3884,0.8084,0.0181,0.926851639532217
275,18,8,0.8449,0.6872,0.8182,0.7682,0.9167,0.919,0.8317,0.3707,0.7755,0.016,0.889130933272185
275,18,9,0.8536,0.7055,0.835,0.7864,0.9167,0.9171,0.8364,0.3793,0.787,0.0094,0.902315982572804
275,18,10,0.871,0.7405,0.8541,0.8045,0.9333,0.9371,0.8518,0.388,0.808,0.015,0.926393029121761
300,5,2,0.854,0.7069,0.8377,0.8061,0.9,0.8899,0.8472,0.3884,0.7877,0.0191,0.903118550791103
