X0,X1,X2,X3,X4,X13,X16,X17,X19,X20,X21,X22,X43,X56,X61,X76,X78,X121,X127,X134,Y
-1,17,17.2411,163.48,3.29,1,2,2,1,5,-1,1,1,2,1,0,7,0,0,1,1
4,11,16.84658,0,3.93,1,4,1,2,4,-2,0,1,1,2,1,8,0,0,0,0
7,19,17.00274,47.45,3.9,1,3,4,3,3,0,0,1,2,3,0,6,0,1,0,1
29,15,16.61918,70.08,3.63,1,3,4,4,3,0,-1,1,1,2,2,6,0,1,0,1
11,14,16.68219,24.79,4,0,1,1,2,3,0,0,0,1,3,3,6,0,0,0,0
0,8,16.78356,231.42,4,1,2,1,4,4,-1,0,1,2,3,2,10,0,1,1,1
0,-12,16.57534,172.98,0,0,3,2,3,2,-1,0,0,1,3,3,6,0,0,0,0
3,10,16.88375,67.5242,3.6589,0,1,4,3,3,0,2,0,1,3,3,6,1,0,0,0
7,5,16.7726,34.32,4,0,3,2,4,4,-2,-1,0,1,1,-1,7,0,0,1,1
15,16,16.56164,142.96,3.69,0,2,3,3,4,0,0,1,2,3,3,1,0,0,1,0
-2,-1,17.16164,160.22,3.71,0,4,3,1,4,0,1,0,1,1,1,10,0,0,0,1
11,13,17.34521,24.79,4,1,3,4,2,3,1,1,1,2,3,3,4,0,0,1,1
3,12,16.99178,68.7172,3.6461,0,3,4,4,2,0,0,0,1,2,3,6,0,0,0,0
8,14,17.42425,117.62243,3.606,1,2,3,4,5,-1,-1,1,1,1,0,6,0,0,0,0
18,16,17.2137,24.79,4,1,1,2,1,3,-1,-1,1,2,3,1,9,1,1,1,1
-15,1,17.4137,0,4,0,2,3,4,5,-2,0,0,1,3,3,1,0,0,0,0
0,6,17.46027,225.25,4,1,3,1,1,4,-1,1,1,2,2,1,10,0,0,1,1
1,10,17.21918,16.79,3,0,1,1,2,3,-1,0,0,1,2,2,4,0,0,0,0
12,2,17.47945,160.22,3.26,1,2,3,4,5,-1,0,1,1,2,0,2,0,0,0,0
7,14,17.27397,78.15,3.65,1,1,1,2,1,0,0,1,2,3,3,7,0,1,1,1
3,13,17.38356,70.08,3.98,0,2,2,1,4,-1,0,0,1,2,1,2,0,0,1,1
14,1,17.45205,187.82,3.4,0,2,2,4,3,0,-1,0,1,3,1,1,0,0,0,0
-4,-2,17.02449,95.0828,3.629533,1,4,3,1,1,1,1,1,1,3,3,6,0,0,0,0
5,10,16.89863,158.03,3.61,0,3,4,1,3,0,0,0,1,2,1,6,0,0,1,0
